Document;xPath;Element;Name;Cardinality;
ubl:DespatchAdvice;/cac:DespatchLine/cbc:DeliveredQuantity@unitCode;unitCode;Ordered quantity unit of measure;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cbc:OutstandingQuantity;cbc:OutstandingQuantity;Outstanding quantity;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cbc:OutstandingQuantity@unitCode;unitCode;Ordered quantity unit of measure;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cbc:OutstandingReason;cbc:OutstandingReason;Outstanding quantity reason;0..n;
ubl:DespatchAdvice;/cac:DespatchLine/cac:OrderLineReference;cac:OrderLineReference;Order line reference;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:OrderLineReference/cbc:LineID;cbc:LineID;Order line identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:OrderLineReference/cac:OrderReference;cac:OrderReference;Order reference;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:OrderLineReference/cac:OrderReference/cbc:ID;cbc:ID;Order identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item;cac:Item;Item information;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cbc:Name;cbc:Name;Item name;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:BuyersItemIdentification;cac:BuyersItemIdentification;Buyers item identification;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:BuyersItemIdentification/cbc:ID;cbc:ID;Buyers item identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:SellersItemIdentification;cac:SellersItemIdentification;Sellers item identification;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:SellersItemIdentification/cbc:ID;cbc:ID;The Sellers item identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:SellersItemIdentification/cbc:ExtendedID;cbc:ExtendedID;The sellers extended item identifier;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:StandardItemIdentification;cac:StandardItemIdentification;Standard item identification;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:StandardItemIdentification/cbc:ID;cbc:ID;Item standard identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:StandardItemIdentification/cbc:ID@schemeID;schemeID;Item standard identifier identification scheme identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:StandardItemIdentification/cbc:ExtendedID;cbc:ExtendedID;Item standard extended identifier;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:HazardousItem;cac:HazardousItem;Hazardous item information;0..n;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:HazardousItem/cbc:UNDGCode;cbc:UNDGCode;Hazardous item UNDG code;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:HazardousItem/cbc:HazardClassID;cbc:HazardClassID;Haszardous hazard class Identifier;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:AdditionalItemProperty;cac:AdditionalItemProperty;Additional item property information;0..n;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:AdditionalItemProperty/cbc:Name;cbc:Name;Item property name;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:AdditionalItemProperty/cbc:NameCode;cbc:NameCode;Item property code;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:AdditionalItemProperty/cbc:NameCode@listID;listID;Name code list id.;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:AdditionalItemProperty/cbc:Value;cbc:Value;Item property value;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:AdditionalItemProperty/cbc:ValueQuantity;cbc:ValueQuantity;Item property unit of measure;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:AdditionalItemProperty/cbc:ValueQuantity@unitCode;unitCode;Value quantity unit of measure;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:AdditionalItemProperty/cbc:ValueQualifier;cbc:ValueQualifier;Property classification;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:ItemInstance;cac:ItemInstance;Item instance information;0..n;
